session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
38,1,99080.0,0.0,0.0,9.969457107224137,0.999943976241791,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82060.0,""cash"":-1037932.0,""position"":80,""slope_per_step"":8.250743704265009,""r_squared"":0.9999628372067649},""ASH_COATED_OSMIUM"":{""pnl"":17020.0,""cash"":-783060.0,""position"":80,""slope_per_step"":1.718713402959134,""r_squared"":0.9992762244874259}}"
39,-1,100172.0,0.0,0.0,10.073523500232616,0.9999258615566543,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82770.0,""cash"":-877222.0,""position"":80,""slope_per_step"":8.305075529404132,""r_squared"":0.9999638117523834},""ASH_COATED_OSMIUM"":{""pnl"":17402.0,""cash"":-252625.0,""position"":27,""slope_per_step"":1.7684479708284797,""r_squared"":0.9986946521943538}}"
40,0,99298.19999999995,0.0,0.0,9.976881916211624,0.9999112960286314,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82951.19999999995,""cash"":-931041.0,""position"":78,""slope_per_step"":8.3388090494989,""r_squared"":0.9999844837420921},""ASH_COATED_OSMIUM"":{""pnl"":16347.0,""cash"":-783733.0,""position"":80,""slope_per_step"":1.6380728667127287,""r_squared"":0.9972238806868836}}"
41,1,98630.3999999999,0.0,0.0,9.93273107024252,0.9999292575724746,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82521.3999999999,""cash"":-981471.0,""position"":76,""slope_per_step"":8.341449455001714,""r_squared"":0.9999804708282924},""ASH_COATED_OSMIUM"":{""pnl"":16109.0,""cash"":-783971.0,""position"":80,""slope_per_step"":1.5912816152408162,""r_squared"":0.9962814847104626}}"
42,-1,101016.5,0.0,0.0,10.1373404706256,0.9998121447435773,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17825.0,""cash"":-702247.0,""position"":72,""slope_per_step"":1.7839161230171612,""r_squared"":0.9926081106931857},""INTARIAN_PEPPER_ROOT"":{""pnl"":83191.5,""cash"":-816801.0,""position"":75,""slope_per_step"":8.353424347608433,""r_squared"":0.9999841753617299}}"
43,0,101322.0,0.0,0.0,10.137460431202614,0.9999122881831789,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82701.0,""cash"":-957291.0,""position"":80,""slope_per_step"":8.319526207397262,""r_squared"":0.9999823616139056},""ASH_COATED_OSMIUM"":{""pnl"":18621.0,""cash"":108630.0,""position"":-9,""slope_per_step"":1.8179342238053422,""r_squared"":0.9986163034291966}}"
44,1,97937.09999999986,0.0,0.0,9.771717870494374,0.9999193617431089,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15343.0,""cash"":-694728.0,""position"":71,""slope_per_step"":1.4562743378107434,""r_squared"":0.9970852804145064},""INTARIAN_PEPPER_ROOT"":{""pnl"":82594.09999999986,""cash"":-1023398.0,""position"":79,""slope_per_step"":8.31544353268363,""r_squared"":0.9999866976465407}}"
45,-1,100040.90000000002,0.0,0.0,10.148174135437946,0.9998313810263072,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17725.0,""cash"":-482325.0,""position"":50,""slope_per_step"":1.8087624772296247,""r_squared"":0.9962973732838444},""INTARIAN_PEPPER_ROOT"":{""pnl"":82315.90000000002,""cash"":-769677.0,""position"":71,""slope_per_step"":8.339411658208325,""r_squared"":0.9999677670988361}}"
46,0,100055.19999999995,0.0,0.0,10.060770674313916,0.999919140989998,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":81967.19999999995,""cash"":-932025.0,""position"":78,""slope_per_step"":8.27163106358252,""r_squared"":0.9999543549211221},""ASH_COATED_OSMIUM"":{""pnl"":18088.0,""cash"":-151929.0,""position"":17,""slope_per_step"":1.7891396107313962,""r_squared"":0.9985571170534047}}"
47,1,101132.5,0.0,0.0,10.24435845857478,0.9999501210264177,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18213.0,""cash"":-481837.0,""position"":50,""slope_per_step"":1.8842398731923988,""r_squared"":0.9987662371105788},""INTARIAN_PEPPER_ROOT"":{""pnl"":82919.5,""cash"":-967073.0,""position"":75,""slope_per_step"":8.36011858538238,""r_squared"":0.9999813058194498}}"
