session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
60,-1,99986.0,0.0,0.0,10.01013450174816,0.9999523586783265,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82433.0,""cash"":-877559.0,""position"":80,""slope_per_step"":8.311798695424796,""r_squared"":0.9999868902833517},""ASH_COATED_OSMIUM"":{""pnl"":17553.0,""cash"":-352484.0,""position"":37,""slope_per_step"":1.698335806323358,""r_squared"":0.998558615120692}}"
61,0,100132.5,0.0,0.0,9.943783887380224,0.9999144338286345,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17443.0,""cash"":-192578.0,""position"":21,""slope_per_step"":1.6667592178615922,""r_squared"":0.9982728495598707},""INTARIAN_PEPPER_ROOT"":{""pnl"":82689.5,""cash"":-892303.0,""position"":75,""slope_per_step"":8.277024669518648,""r_squared"":0.9999768053792746}}"
62,1,100581.0,0.0,0.0,10.114338079608771,0.999965696178319,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17869.0,""cash"":-782211.0,""position"":80,""slope_per_step"":1.7810781390627815,""r_squared"":0.9991702487006568},""INTARIAN_PEPPER_ROOT"":{""pnl"":82712.0,""cash"":-1037280.0,""position"":80,""slope_per_step"":8.333259940545984,""r_squared"":0.9999859302306509}}"
63,-1,100380.0,0.0,0.0,10.06333092419891,0.9999659221919122,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82852.0,""cash"":-877140.0,""position"":80,""slope_per_step"":8.341852263850113,""r_squared"":0.9999876824548952},""ASH_COATED_OSMIUM"":{""pnl"":17528.0,""cash"":-512525.0,""position"":53,""slope_per_step"":1.7214786603487866,""r_squared"":0.9993644132391343}}"
64,0,99740.0,0.0,0.0,10.096388772411668,0.9999581420568673,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17490.0,""cash"":-642576.0,""position"":66,""slope_per_step"":1.803617903916179,""r_squared"":0.99894881421307},""INTARIAN_PEPPER_ROOT"":{""pnl"":82250.0,""cash"":-957742.0,""position"":80,""slope_per_step"":8.292770868495495,""r_squared"":0.9999827895590877}}"
65,1,99723.0,0.0,0.0,9.994158012799351,0.9999493928366998,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17100.0,""cash"":-22904.0,""position"":4,""slope_per_step"":1.7006370681443708,""r_squared"":0.9982185924010666},""INTARIAN_PEPPER_ROOT"":{""pnl"":82623.0,""cash"":-1037369.0,""position"":80,""slope_per_step"":8.293520944654986,""r_squared"":0.9999678576040797}}"
66,-1,99290.59999999998,0.0,0.0,9.870386622912875,0.9996001929318051,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16571.0,""cash"":-733504.0,""position"":75,""slope_per_step"":1.5467623755536237,""r_squared"":0.9898373588054951},""INTARIAN_PEPPER_ROOT"":{""pnl"":82719.59999999998,""cash"":-805273.0,""position"":74,""slope_per_step"":8.323624247359238,""r_squared"":0.9999679724954996}}"
67,0,101567.29999999993,0.0,0.0,10.244948308201288,0.9997698621133033,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83086.29999999993,""cash"":-917906.0,""position"":77,""slope_per_step"":8.394521245639007,""r_squared"":0.9999496882790799},""ASH_COATED_OSMIUM"":{""pnl"":18481.0,""cash"":-781599.0,""position"":80,""slope_per_step"":1.8504270625622705,""r_squared"":0.9966625933093974}}"
68,1,100560.09999999986,0.0,0.0,10.119959250420003,0.9999059678843826,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17252.0,""cash"":-782828.0,""position"":80,""slope_per_step"":1.758750101479501,""r_squared"":0.9970489176624137},""INTARIAN_PEPPER_ROOT"":{""pnl"":83308.09999999986,""cash"":-1022684.0,""position"":79,""slope_per_step"":8.361209148940496,""r_squared"":0.9999745452987653}}"
69,-1,99659.0,0.0,0.0,10.063121297299636,0.9998361174400587,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15929.0,""cash"":-704143.0,""position"":72,""slope_per_step"":1.6802815536868156,""r_squared"":0.9931412468053634},""INTARIAN_PEPPER_ROOT"":{""pnl"":83730.0,""cash"":-876262.0,""position"":80,""slope_per_step"":8.382839743612802,""r_squared"":0.9999761419168884}}"
